date/time,open,high,low,close,volume
2013-06-07,115.5800,118.8900,112.2800,117.0600,4460800
2013-05-31,122.7800,124.4200,117.4900,117.5500,2804900
2013-05-24,128.1500,130.9900,119.5400,120.5300,4842300
2013-05-17,123.2800,127.4700,122.5000,127.3200,4569600
2013-05-10,115.0000,121.3800,114.8400,121.2800,4181300
2013-05-03,115.9600,116.8200,112.8400,114.9200,2038200
2013-04-26,111.5600,116.2900,111.2800,115.4800,3033500
2013-04-19,112.2900,113.0000,110.3900,112.2600,2226500
2013-04-12,107.5000,113.6400,106.8400,113.1000,4946000
2013-04-05,101.8800,106.7200,99.7000,106.5000,4681200
2013-03-28,104.2700,104.2900,102.2000,102.6400,1558200
2013-03-22,103.4300,104.6400,102.6000,103.9900,1550300
2013-03-15,103.9000,104.2000,102.5300,103.9300,1235500
2013-03-08,102.0100,104.6200,101.4800,103.6900,3881000
2013-03-01,102.1300,103.0800,99.3400,102.6900,3442200
2013-02-22,101.7700,103.9900,100.3300,102.3400,2658200
2013-02-15,105.0800,106.0000,102.4200,102.6000,3025000
2013-02-08,98.4400,104.9000,97.6300,104.4500,3931400
2013-02-01,95.2000,98.2700,94.5100,98.1300,1908400
2013-01-25,94.3700,96.4800,94.1400,96.1000,1875600
2013-01-18,96.5800,97.1700,94.2000,95.8900,3620200
2013-01-11,95.3500,97.1100,93.2000,96.1100,2152600
2013-01-04,92.0400,97.5500,92.0400,97.3400,2340700
2012-12-28,90.9000,92.6100,90.1500,92.0700,1943600
2012-12-21,85.8600,92.6900,85.8600,90.7700,2628200
2012-12-14,85.6000,87.0000,85.0000,85.9200,1379500
2012-12-07,85.6200,86.2000,84.9500,86.1000,1254600
2012-11-30,86.5800,86.8400,83.8000,86.0800,1564100
2012-11-23,82.9600,85.6900,82.4500,85.6100,1229000
2012-11-16,77.7900,82.2800,76.1700,82.0900,1982500
2012-11-09,80.3100,81.4400,78.2600,78.6500,1681700
2012-11-02,76.9600,78.5000,76.9600,77.8000,634100
2012-10-26,78.9100,79.1400,76.8600,77.3600,1686800
2012-10-19,76.2500,78.7400,75.8300,77.8300,2089600
2012-10-12,77.4200,77.5600,74.2700,74.6700,1557900
2012-10-05,77.1200,79.0700,76.5700,77.7000,1837700
2012-09-28,80.3400,81.4500,78.0600,78.5100,2597700
2012-09-21,82.7600,82.7900,81.1400,81.5000,1471000
2012-09-14,82.1900,83.7400,81.1100,83.1800,1586800
2012-09-07,78.7000,81.7400,78.0100,81.6700,1618900
2012-08-31,82.0000,82.0000,79.0100,79.6200,1040100
2012-08-24,82.0000,82.7400,81.6000,82.4800,1480000
2012-08-17,81.0500,82.5800,80.0400,82.5700,1273100
2012-08-10,80.3100,82.0000,79.8000,81.4900,2662600
2012-08-03,75.3900,81.3200,75.1700,81.0600,5751000
2012-07-27,74.3100,76.2500,72.0400,76.0900,1268800
2012-07-20,76.2000,77.0800,75.1100,75.1300,984500
2012-07-13,79.2000,79.3500,75.4300,76.5500,1186000
